Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1.383790667,-0.3128494263,0.1121168518,9.748178558
1.393784667,-0.3089575195,0.1046324158,9.754315796
1.403779667,-0.314046936,0.1079255676,9.762099609
1.413774667,-0.312999115,0.1052311707,9.761201477
1.423768667,-0.3046165466,0.1122665405,9.758656769
1.433763667,-0.310304718,0.1146615601,9.752968597
1.443758667,-0.3224295044,0.1130149841,9.750872955
1.453752667,-0.3164419556,0.1113684082,9.758058014
1.463747667,-0.3192860413,0.1119671631,9.757758636
1.473742667,-0.3141966248,0.1038839722,9.753717041
1.483736667,-0.3152444458,0.1074765015,9.763297119
1.493731667,-0.3137475586,0.1080752563,9.768386536
1.503726667,-0.3143463135,0.1161584473,9.754615173
1.513721667,-0.3077600098,0.1095721436,9.754016418
1.523715667,-0.314046936,0.1046324158,9.755812683
1.533710667,-0.314046936,0.1128652954,9.752220154
1.543705667,-0.3183879089,0.112565918,9.755213928
1.553699667,-0.3230282593,0.1092727661,9.762099609
1.563694667,-0.3119512939,0.1073268127,9.755662994
1.573689667,-0.3110531616,0.1152603149,9.763746185
1.583683667,-0.3177891541,0.1152603149,9.761201477
1.593678667,-0.3079096985,0.1082249451,9.760153656
1.603673667,-0.3056643677,0.1052311707,9.754166107
1.613667667,-0.310304718,0.1103205872,9.757758636
1.623662667,-0.3125500488,0.1070274353,9.757908325
1.633657667,-0.3207829285,0.1077758789,9.752220154
1.643652667,-0.3188369751,0.1146615601,9.763446808
1.653646667,-0.3159928894,0.1056802368,9.760003967
1.663641667,-0.3179388428,0.1122665405,9.754914551
1.67363825,-0.3126997375,0.1119671631,9.748627625
1.68363225,-0.3149450684,0.1155596924,9.757758636
1.69362725,-0.3191363525,0.1197509766,9.762698364
1.70362225,-0.3132984924,0.1137634277,9.755812683
1.71361625,-0.3131488037,0.1062789917,9.765991516
1.72361125,-0.3053649902,0.1077758789,9.752519531
1.73360625,-0.3089575195,0.1026864624,9.755662994
1.74360025,-0.3149450684,0.106129303,9.752968597
1.75359525,-0.3128494263,0.1068777466,9.762548676
1.76359025,-0.3152444458,0.1130149841,9.778265991
1.77358525,-0.3107537842,0.1064286804,9.753717041
1.78357925,-0.3089575195,0.1082249451,9.771080933
1.79357425,-0.3124003601,0.1082249451,9.758656769
1.80356925,-0.3161425781,0.1089733887,9.738149414
1.81356325,-0.3225791931,0.1115180969,9.757758636
1.82355825,-0.3144960022,0.102387085,9.76314743
1.83355325,-0.3113525391,0.106129303,9.765392761
1.84354725,-0.3082090759,0.1164578247,9.772128754
1.85354225,-0.3171903992,0.110919342,9.754465485
1.86353725,-0.3248245239,0.1118174744,9.76434494
1.87353125,-0.315693512,0.1094224548,9.752070465
1.88352625,-0.3203338623,0.1092727661,9.776918793
1.89352125,-0.3071612549,0.1091230774,9.756261749
1.90351625,-0.309256897,0.1074765015,9.751920776
1.91351025,-0.3263214111,0.1079255676,9.785900116
1.92350525,-0.3126997375,0.103434906,9.745035095
1.93350025,-0.3083587646,0.1158590698,9.755962372
1.94349425,-0.3153941345,0.1104702759,9.751920776
1.95348925,-0.3050656128,0.09684860229,9.754166107
1.96348425,-0.3109034729,0.1119671631,9.7609021
1.97347825,-0.3074606323,0.1104702759,9.763297119
1.98347325,-0.309256897,0.1104702759,9.759554901
1.99346825,-0.3150947571,0.1052311707,9.760153656
