Time (s),X (rad/s),Y (rad/s),Z (rad/s)
33.6807895,-1.782610893,0.0483219102,1.177586079
33.6907855,-1.509562016,0.1504653245,1.235020161
33.7007825,-1.21958375,0.2562593818,1.232460976
33.7107785,-0.9548186064,0.3449399769,1.192725539
33.7207755,-0.7529214025,0.3900651336,1.145199656
33.7307715,-0.6454529762,0.3914638162,1.106854677
33.7407685,-0.6424078345,0.3558342159,1.065165401
33.7507655,-0.7409676909,0.3500692546,1.000686765
33.7607615,-0.9221565127,0.3943738937,0.9192163944
33.7707585,-1.169324994,0.4927097857,0.8314713836
33.7807555,-1.430087209,0.6396967769,0.7569744587
33.7907515,-1.671419978,0.8145557046,0.698065877
33.8007485,-1.857087493,1.009534597,0.6549146771
33.8107445,-1.983088255,1.201114655,0.6263751984
33.8207415,-2.037151814,1.383402348,0.6044912338
33.8307385,-2.016317129,1.534187078,0.5781501532
33.8407345,-1.946359277,1.648156285,0.5560010672
33.8507315,-1.851514816,1.71530664,0.5310789347
33.8607275,-1.761065602,1.747265935,0.531065464
33.8707245,-1.683188677,1.734199882,0.5646092892
33.8807215,-1.613114953,1.677811503,0.6379538774
33.8907175,-1.5486449,1.58964169,0.731726706
33.9007145,-1.48104763,1.462851644,0.8362092972
33.9107105,-1.416267514,1.305890083,0.9350453019
33.9207075,-1.344060421,1.135543942,1.009537816
33.9307045,-1.288997173,0.9575887918,1.055414557
33.9407005,-1.236375213,0.7811151743,1.088356495
33.95069288,-1.186010957,0.6317549944,1.108423591
33.96068888,-1.140090108,0.5140988827,1.136258125
33.97068588,-1.102552772,0.4475701749,1.157242179
33.98068288,-1.067417502,0.4507931173,1.191024184
33.99067888,-1.016921282,0.517819047,1.226717114
34.00067587,-0.9497090578,0.6088545322,1.255346298
34.01067188,-0.8685559034,0.6895009279,1.284329772
34.02066888,-0.7821080685,0.7657743096,1.312703967
34.03066488,-0.6974017024,0.8372149467,1.327350497
34.04066188,-0.627269268,0.8957808614,1.333266497
34.05065888,-0.5712794662,0.9519130588,1.33078599
34.06065488,-0.5285084844,0.9993124008,1.328861237
34.07065188,-0.4950315356,1.044115663,1.311500192
34.08064788,-0.4713179767,1.090727806,1.284121633
34.09064488,-0.4715818763,1.135966659,1.243649244
34.10064188,-0.5048394799,1.184590101,1.174571037
34.11063788,-0.5714842677,1.234137416,1.087937355
34.12063488,-0.6703513265,1.256012201,0.9984872937
34.13063088,-0.7875533104,1.264065146,0.9360825419
