Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
1.379168458,1.668241382,-7.25079155,-31.64808464,32.51089462
1.389164458,2.387997627,-6.399232388,-31.82728767,32.55194232
1.399161458,3.061055899,-5.640784264,-31.9734211,32.61116629
1.409157458,3.729970932,-4.975664139,-32.05138397,32.64906019
1.419153458,4.315968037,-4.460718632,-32.05141449,32.64687981
1.429150458,4.845191956,-4.014385223,-31.91662407,32.53094013
1.439146458,5.357679367,-3.566522598,-31.86277962,32.50633072
1.449142458,5.878415108,-3.120855331,-31.75565147,32.44559913
1.459139458,6.385157108,-2.908967972,-31.67146873,32.43939361
1.469135458,6.885886192,-2.873125076,-31.47854042,32.35071535
1.479131458,7.280219555,-2.756493568,-31.31607628,32.26912591
1.489128458,7.552741051,-2.791359901,-31.17340279,32.19653132
1.499124458,7.742486954,-2.803826332,-30.95115471,32.02782422
1.509120458,7.76622057,-2.93710041,-30.84052849,31.93867465
1.519117458,7.847073078,-3.118052959,-30.80848503,31.94466403
1.529113458,7.867704868,-3.404476643,-30.79533577,31.96629391
1.539109458,8.070566177,-3.688923836,-30.65790749,31.91628877
1.549106458,8.442857742,-3.959480286,-30.38854027,31.78714694
1.559102458,8.911762238,-4.189994812,-30.16655159,31.73320654
1.569098458,9.44246006,-4.311512947,-30.11564064,31.85437187
1.579095458,9.981827736,-4.257340431,-30.03177071,31.93225774
1.589091458,10.46526146,-4.08321476,-29.94062614,31.97867155
1.599087458,11.00470161,-4.107754707,-29.7838459,32.01647362
1.609084458,11.40210629,-4.150892735,-29.78976631,32.1662574
1.619080458,11.72482014,-4.178387165,-29.77729225,32.27409891
1.629076458,12.06887054,-4.217770576,-29.72794914,32.36044167
1.639073458,12.43613148,-4.327539921,-29.59981346,32.396511
1.649069458,12.9044981,-4.480963707,-29.39947319,32.41811424
1.659065458,13.40344238,-4.800247669,-29.15590858,32.44628871
1.669062458,14.03463554,-5.140319824,-28.86767006,32.50748002
1.679058458,14.50465584,-5.526545525,-28.72659874,32.6518793
1.689054458,14.82058334,-5.842857361,-28.56614494,32.7080007
1.699051458,14.9729166,-6.172194004,-28.5327816,32.80859394
1.709047458,15.03455639,-6.339020252,-28.4852314,32.82726719
1.719043458,14.94393349,-6.443034172,-28.53927803,32.8530703
1.729040458,14.76883221,-6.563742638,-28.70641518,32.94327541
1.739036458,14.59068966,-6.634305477,-28.88994408,33.03832778
1.749032458,14.51594067,-6.707658768,-28.99838448,33.11512527
1.759029458,14.50521183,-6.589607716,-29.13663673,33.20794634
