Time (s),X (µT),Y (µT),Z (µT)
1.999117208,-0.8239221573,-23.39938736,-17.25738144
2.009115208,-0.7650790215,-23.44777298,-17.16863823
2.019114208,-0.762860775,-23.4485321,-17.07921791
2.029112208,-0.865167141,-23.43163109,-17.06410408
2.039110208,-0.9125795364,-23.41733551,-17.06523895
2.049108208,-0.9238142967,-23.36557388,-17.02637482
2.059106208,-0.8974294662,-23.37457466,-16.97751045
2.069104208,-0.8878569603,-23.32544899,-16.93917274
2.079102208,-0.8948259354,-23.27638245,-17.00284004
2.089100208,-0.7993950844,-23.38946915,-16.88538361
2.099098208,-0.782790184,-23.43664169,-16.89989853
2.109096208,-0.7932810783,-23.48596001,-16.80949593
2.119094208,-0.8195400238,-23.58263016,-16.54897499
2.129092208,-0.7163362503,-23.70271111,-16.40933228
2.139090208,-0.6801843643,-23.67580223,-16.49986076
2.149089208,-0.7185587883,-23.58893776,-16.74816895
2.159087208,-0.7008152008,-23.50604248,-16.93758392
2.169085208,-0.7341241837,-23.46735382,-16.92604256
2.179083208,-0.7691583633,-23.52085495,-16.93242836
2.189081208,-0.8326940536,-23.53161812,-17.16226959
2.199079208,-0.8659501076,-23.49731636,-17.4045887
2.209077208,-0.8277344704,-23.53620529,-17.52214241
2.219075209,-0.8374342918,-23.47325325,-17.50769997
2.229073209,-0.8533816338,-23.38001633,-17.5343399
2.239071209,-0.8658232689,-23.41324425,-17.54908371
2.249069209,-0.7880187035,-23.48167038,-17.4796505
2.259067209,-0.7701535225,-23.44094276,-17.46058846
2.269066209,-0.7651891708,-23.40780258,-17.45366859
2.279064209,-0.7990131378,-23.39686394,-17.50967216
2.289062208,-0.8143596649,-23.36038208,-17.50574493
2.299060208,-0.834883213,-23.42543793,-17.51561928
2.309058208,-0.8782205582,-23.43454552,-17.51910782
2.319056208,-0.9023332596,-23.4629631,-17.50843048
2.329049833,-0.8428702354,-23.44294357,-17.50758553
2.339047833,-0.8367099762,-23.52099228,-17.40297699
2.349045833,-0.8117818832,-23.50883102,-17.39387894
2.359043833,-0.8231134415,-23.51319695,-17.38238335
2.369041833,-0.8538684845,-23.5213604,-17.35577202
2.379039833,-0.8784060478,-23.45497894,-17.44183731
2.389038833,-0.8777160645,-23.3891468,-17.49653625
2.399036833,-0.8749871254,-23.38479805,-17.50404739
2.409034833,-0.8870587349,-23.36014557,-17.54670525
2.419032833,-0.8798294067,-23.37319374,-17.61650467
2.429030834,-0.856692791,-23.42912865,-17.56350708
2.439028834,-0.8425321579,-23.42250633,-17.49866676
2.449026834,-0.8680300713,-23.42427826,-17.48928452
2.459024834,-0.8278460503,-23.45069695,-17.46429062
2.469022834,-0.9079833031,-23.39374733,-17.52680969
2.479020834,-0.896132946,-23.38759232,-17.55371857
2.489018833,-0.9315991402,-23.35784149,-17.59412575
2.499016833,-0.8707504272,-23.41407204,-17.58404541
2.509014833,-0.8314146996,-23.46788979,-17.53820992
2.519012833,-0.8203721046,-23.45487976,-17.58212471
2.529011833,-0.8450107574,-23.38694763,-17.6856842
2.539009833,-0.7857084274,-23.38518715,-17.67898369
2.549007833,-0.7798337936,-23.37301636,-17.68673706
2.559005833,-0.8390727043,-23.4134903,-17.64575958
2.569003833,-0.8122906685,-23.49684715,-17.56270599
2.579001833,-0.8235311508,-23.48729897,-17.5536747
2.588999833,-0.855155468,-23.40958977,-17.49523544
2.598997833,-0.8286027908,-23.40845299,-17.37921333
2.608995833,-0.7742376328,-23.4600563,-17.38710594
2.618993833,-0.7582736015,-23.46831512,-17.4396534
2.628991833,-0.8314738274,-23.4671936,-17.51394844
2.638989833,-0.8189916611,-23.46180916,-17.44325638
2.648988833,-0.8405022621,-23.57969856,-17.40036583
2.658986833,-0.7908763885,-23.62330437,-17.21569633
2.668984833,-0.8052978516,-23.59532547,-17.05281067
2.678982833,-0.8090748787,-23.60091972,-17.06907654
2.688980833,-0.8548946381,-23.48663902,-17.26110077
2.698978833,-0.8667888641,-23.44923401,-17.40158463
2.708976833,-0.8722920418,-23.47580147,-17.37967491
2.718974833,-0.8648304939,-23.56151009,-17.37932205
2.728972833,-0.9036746025,-23.55520821,-17.44211006
2.738970833,-0.9030280113,-23.5532074,-17.51293373
2.748968833,-0.9140768051,-23.5520916,-17.45246506
2.758966833,-0.9149508476,-23.4379425,-17.46455383
2.768964833,-0.891664505,-23.36552238,-17.46218681
2.778962833,-0.8935189247,-23.3350544,-17.47681618
2.788961833,-0.910027504,-23.27275276,-17.51271248
2.798959833,-0.9177279472,-23.35673714,-17.50833511
2.808957833,-0.8749241829,-23.44373322,-17.39565849
2.818955833,-0.867620945,-23.4364109,-17.36463737
2.828953833,-0.9096651077,-23.47388649,-17.46159554
2.838951833,-0.9320011139,-23.44070244,-17.49851418
2.848949833,-0.9119091034,-23.42345428,-17.56913567
2.858947834,-0.980342865,-23.36501312,-17.58336258
2.868945834,-0.9661545753,-23.33068466,-17.57357025
2.878943834,-1.002757072,-23.3461628,-17.56736565
2.888941834,-0.9607667923,-23.39906883,-17.55857086
2.898939834,-0.9235343933,-23.40989113,-17.46509361
2.908937834,-0.9901576042,-23.35734367,-17.47003555
2.918936834,-0.9971113205,-23.35783386,-17.4362278
2.928934834,-0.9571838379,-23.39024162,-17.44934273
2.938932833,-0.9809699059,-23.4341011,-17.40476227
2.948930833,-0.9235644341,-23.40133667,-17.45232964
2.958928833,-0.9100642204,-23.39279747,-17.46000671
2.968926833,-0.8952841759,-23.36914635,-17.45354652
2.978924833,-0.8639950752,-23.32833481,-17.39186478
2.988922833,-0.8639950752,-23.32833481,-17.39186478
2.998920833,-0.8424167633,-23.23808098,-17.31598663
3.008918833,-0.8441562653,-23.20976448,-17.31175804
3.018916833,-0.8935880661,-23.20119095,-17.3528862
3.028914833,-0.8746466637,-23.20499611,-17.26106453
3.038912833,-0.9285297394,-23.24070358,-17.32364655
3.048910833,-0.9280700684,-23.38766479,-17.32580376
3.058909833,-0.9293909073,-23.44099808,-17.32234573
3.068907833,-0.843214035,-23.47263718,-17.33713531
3.078905833,-0.8486952782,-23.44994354,-17.31787491
3.088903833,-0.8092546463,-23.34112549,-17.39235306
3.098901833,-0.8023195267,-23.32366753,-17.43533897
3.108899833,-0.80473423,-23.33272552,-17.37676048
3.118897833,-0.8328857422,-23.31855965,-17.41534615
3.128895833,-0.8658194542,-23.27884293,-17.49815559
3.138893833,-0.9050588608,-23.26972198,-17.55802917
3.148891833,-0.8852686882,-23.35017586,-17.52516174
3.158889833,-0.8182992935,-23.39183807,-17.43902588
3.168887833,-0.7905502319,-23.31909752,-17.41396332
3.178885833,-0.8717923164,-23.22897911,-17.48638725
3.188883833,-0.9335575104,-23.19604874,-17.52075386
3.198881833,-0.8824090958,-23.23115921,-17.56219101
3.208880833,-0.8500370979,-23.29499054,-17.5631237
3.218878833,-0.8876094818,-23.3210392,-17.62431145
3.228876833,-0.8532528877,-23.29260445,-17.6493988
3.238874833,-0.8934044838,-23.30555725,-17.60686111
3.248872833,-0.9468584061,-23.22712326,-17.55834961
3.258870833,-0.8953313828,-23.21082497,-17.37924194
3.268868833,-0.8103346825,-23.22296524,-17.36806488
3.278866833,-0.7750205994,-23.31394386,-17.36819267
3.288864833,-0.7855682373,-23.41199303,-17.33988953
3.298862834,-0.837539196,-23.42138481,-17.28436089
3.308860834,-0.8649716377,-23.42444992,-17.28190804
3.318858834,-0.8663277626,-23.34068108,-17.3701973
3.328856708,-0.8671936989,-23.32025528,-17.43405533
3.338854708,-0.9099578857,-23.33962631,-17.44638824
3.348852708,-0.8768167496,-23.33008575,-17.41919327
3.358851708,-0.8930153847,-23.32566833,-17.35106468
3.368849708,-0.8463315964,-23.37031174,-17.32423019
3.378847708,-0.9228725433,-23.38918495,-17.45304298
3.388845708,-0.9148449898,-23.35069656,-17.46967316
3.398843708,-0.9025068283,-23.34117317,-17.41158485
3.408841708,-0.9533023834,-23.39166641,-17.423172
3.418839708,-0.9618535042,-23.42597008,-17.40914726
